#node time(s) x y
0 0.0 30 0
0 0.2 30 0
0 0.4 30 0
0 0.6 30 0
0 0.8 30 0
0 1.0 30 0
0 1.2 30 0
0 1.4 30 0
0 1.6 30 0
0 1.8 30 0
0 2.0 30 0
0 2.2 30 0
0 2.4 30 0
0 2.6 30 0
0 2.8 30 0
0 3.0 30 0
0 3.2 30 0
0 3.4 30 0
0 3.6 30 0
0 3.8 30 0
0 4.0 30 0
0 4.2 30 0
0 4.4 30 0
0 4.6 30 0
0 4.8 30 0
0 5.0 30 0

# movimento inicia em 5.2 s (subida até ~20 km)
0 5.2 30 54
0 5.4 30 108
0 5.6 30 162
0 5.8 30 216
0 6.0 30 270
0 6.2 30 324
0 6.4 30 378
0 6.6 30 432
0 6.8 30 486
0 7.0 30 540
0 7.2 30 594
0 7.4 30 648
0 7.6 30 702
0 7.8 30 756
0 8.0 30 810
0 8.2 30 864
0 8.4 30 918
0 8.6 30 972
0 8.8 30 1026
0 9.0 30 1080
0 9.2 30 1134
0 9.4 30 1188
0 9.6 30 1242
0 9.8 30 1296
0 10.0 30 1350
0 10.2 30 1404
0 10.4 30 1458
0 10.6 30 1512
0 10.8 30 1566
0 11.0 30 1620
0 11.2 30 1674
0 11.4 30 1728
0 11.6 30 1782
0 11.8 30 1836
0 12.0 30 1890
0 12.2 30 1944
0 12.4 30 1998
0 12.6 30 2052
0 12.8 30 2106
0 13.0 30 2160
0 13.2 30 2214
0 13.4 30 2268
0 13.6 30 2322
0 13.8 30 2376
0 14.0 30 2430
0 14.2 30 2484
0 14.4 30 2538
0 14.6 30 2592
0 14.8 30 2646
0 15.0 30 2700
0 15.2 30 2754
0 15.4 30 2808
0 15.6 30 2862
0 15.8 30 2916
0 16.0 30 2970
0 16.2 30 3024
0 16.4 30 3078
0 16.6 30 3132
0 16.8 30 3186
0 17.0 30 3240
0 17.2 30 3294
0 17.4 30 3348
0 17.6 30 3402
0 17.8 30 3456
0 18.0 30 3510
0 18.2 30 3564
0 18.4 30 3618
0 18.6 30 3672
0 18.8 30 3726
0 19.0 30 3780
0 19.2 30 3834
0 19.4 30 3888
0 19.6 30 3942
0 19.8 30 3996
0 20.0 30 4050
0 20.2 30 4104
0 20.4 30 4158
0 20.6 30 4212
0 20.8 30 4266
0 21.0 30 4320
0 21.2 30 4374
0 21.4 30 4428
0 21.6 30 4482
0 21.8 30 4536
0 22.0 30 4590
0 22.2 30 4644
0 22.4 30 4698
0 22.6 30 4752
0 22.8 30 4806
0 23.0 30 4860
0 23.2 30 4914
0 23.4 30 4968
0 23.6 30 5022
0 23.8 30 5076
0 24.0 30 5130
0 24.2 30 5184
0 24.4 30 5238
0 24.6 30 5292
0 24.8 30 5346
0 25.0 30 5400
0 25.2 30 5454
0 25.4 30 5508
0 25.6 30 5562
0 25.8 30 5616
0 26.0 30 5670
0 26.2 30 5724
0 26.4 30 5778
0 26.6 30 5832
0 26.8 30 5886
0 27.0 30 5940
0 27.2 30 5994
0 27.4 30 6048
0 27.6 30 6102
0 27.8 30 6156
0 28.0 30 6210
0 28.2 30 6264
0 28.4 30 6318
0 28.6 30 6372
0 28.8 30 6426
0 29.0 30 6480
0 29.2 30 6534
0 29.4 30 6588
0 29.6 30 6642
0 29.8 30 6696
0 30.0 30 6750
0 30.2 30 6804
0 30.4 30 6858
0 30.6 30 6912
0 30.8 30 6966
0 31.0 30 7020
0 31.2 30 7074
0 31.4 30 7128
0 31.6 30 7182
0 31.8 30 7236
0 32.0 30 7290
0 32.2 30 7344
0 32.4 30 7398
0 32.6 30 7452
0 32.8 30 7506
0 33.0 30 7560
0 33.2 30 7614
0 33.4 30 7668
0 33.6 30 7722
0 33.8 30 7776
0 34.0 30 7830
0 34.2 30 7884
0 34.4 30 7938
0 34.6 30 7992
0 34.8 30 8046
0 35.0 30 8100
0 35.2 30 8154
0 35.4 30 8208
0 35.6 30 8262
0 35.8 30 8316
0 36.0 30 8370
0 36.2 30 8424
0 36.4 30 8478
0 36.6 30 8532
0 36.8 30 8586
0 37.0 30 8640
0 37.2 30 8694
0 37.4 30 8748
0 37.6 30 8802
0 37.8 30 8856
0 38.0 30 8910
0 38.2 30 8964
0 38.4 30 9018
0 38.6 30 9072
0 38.8 30 9126
0 39.0 30 9180
0 39.2 30 9234
0 39.4 30 9288
0 39.6 30 9342
0 39.8 30 9396
0 40.0 30 9450
0 40.2 30 9504
0 40.4 30 9558
0 40.6 30 9612
0 40.8 30 9666
0 41.0 30 9720
0 41.2 30 9774
0 41.4 30 9828
0 41.6 30 9882
0 41.8 30 9936
0 42.0 30 9990
0 42.2 30 10044
0 42.4 30 10098
0 42.6 30 10152
0 42.8 30 10206
0 43.0 30 10260
0 43.2 30 10314
0 43.4 30 10368
0 43.6 30 10422
0 43.8 30 10476
0 44.0 30 10530
0 44.2 30 10584
0 44.4 30 10638
0 44.6 30 10692
0 44.8 30 10746
0 45.0 30 10800
0 45.2 30 10854
0 45.4 30 10908
0 45.6 30 10962
0 45.8 30 11016
0 46.0 30 11070
0 46.2 30 11124
0 46.4 30 11178
0 46.6 30 11232
0 46.8 30 11286
0 47.0 30 11340
0 47.2 30 11394
0 47.4 30 11448
0 47.6 30 11502
0 47.8 30 11556
0 48.0 30 11610
0 48.2 30 11664
0 48.4 30 11718
0 48.6 30 11772
0 48.8 30 11826
0 49.0 30 11880
0 49.2 30 11934
0 49.4 30 11988
0 49.6 30 12042
0 49.8 30 12096
0 50.0 30 12150
0 50.2 30 12204
0 50.4 30 12258
0 50.6 30 12312
0 50.8 30 12366
0 51.0 30 12420
0 51.2 30 12474
0 51.4 30 12528
0 51.6 30 12582
0 51.8 30 12636
0 52.0 30 12690
0 52.2 30 12744
0 52.4 30 12798
0 52.6 30 12852
0 52.8 30 12906
0 53.0 30 12960
0 53.2 30 13014
